Position X	Position Y	Position Z
-604.4600	-2057.4810	3765.8921
-599.9200	-2056.6399	3765.9409
-608.2470	-2056.0869	3765.8040
-610.2310	-2055.6760	3765.7810
-596.4060	-2055.5640	3765.9331
-594.2690	-2055.1489	3765.7871
-605.2800	-2054.0691	3765.9089
-597.2840	-2054.0940	3765.8391
-595.5690	-2053.7610	3765.9331
-591.0900	-2053.7429	3766.0391
-610.3740	-2053.4189	3765.9680
-604.1800	-2052.2371	3765.9170
-605.9190	-2051.9260	3765.8640
-608.4410	-2051.6399	3765.9160
-604.4400	-2050.7319	3765.9570
-599.8030	-2050.3821	3765.9971
-606.1050	-2049.9819	3765.9150
-603.6720	-2049.9810	3765.9890
-594.8310	-2048.2681	3766.0100
-604.1580	-2048.0610	3766.0540
-606.3250	-2047.2090	3765.8191
-603.8960	-2047.1510	3765.8899
-596.4580	-2046.9420	3765.8921
-597.7310	-2046.6801	3765.9609
-599.8160	-2044.9950	3765.8169
-598.3080	-2044.5300	3765.9121
-598.0070	-2044.0330	3765.9700
-599.5720	-2043.0000	3766.0649
-603.2690	-2039.9330	3765.9460
-601.6700	-2039.1410	3765.9651
-603.3260	-2036.7040	3765.8511
-602.3270	-2036.2729	3765.8350
-599.4360	-2057.3040	3766.1570
-611.5200	-2056.4319	3766.0850
-594.2810	-2056.1531	3766.2129
-601.5660	-2055.6790	3766.1050
-603.6730	-2053.8911	3766.1240
-609.5230	-2052.2200	3766.0891
-608.0310	-2051.2290	3766.2371
-595.4060	-2049.3889	3766.3000
-598.3110	-2048.2561	3766.3501
-598.8770	-2048.1421	3766.1589
-601.6350	-2047.7180	3766.1899
-598.0270	-2047.6219	3766.1379
-603.0580	-2047.1290	3766.2329
-599.9220	-2046.6689	3766.1660
-600.8960	-2045.9139	3766.2871
-597.5140	-2045.3440	3766.1001
-599.2050	-2044.6801	3766.1270
-605.6640	-2044.2970	3766.2371
-600.6070	-2039.5480	3766.0891
-600.8870	-2057.5959	3766.5200
-591.9650	-2056.5420	3766.4109
-595.2190	-2052.5620	3766.6201
-596.5850	-2051.5039	3766.5630
-596.7570	-2050.8420	3766.5691
-599.8380	-2048.3911	3766.5359
-603.3120	-2047.8770	3766.3701
-599.9720	-2047.7080	3766.6421
-605.1950	-2047.4680	3766.4050
-604.6530	-2046.7419	3766.4851
-603.5840	-2045.9370	3766.4851
-600.4790	-2057.8430	3766.8169
-601.8760	-2057.5591	3766.7061
-593.2270	-2055.8440	3766.7241
-597.5840	-2050.3401	3766.7190
-593.2990	-2066.2461	3766.9961
-600.8640	-2059.1841	3767.1421
-601.6790	-2060.8740	3767.4250
-602.6790	-2058.5481	3767.4109
-601.7960	-2059.7429	3767.6440
