Position X	Position Y	Position Z
-605.3240	-2029.0090	3765.5330
-600.4210	-2025.8810	3765.5229
-601.4130	-2025.4240	3765.4741
-602.5050	-2024.7860	3765.5779
-599.4230	-2023.6930	3765.5349
-601.9100	-2022.9280	3765.5100
-601.4720	-2021.6040	3765.5010
-612.1150	-2014.6040	3765.5300
-608.2120	-2095.8220	3765.7839
-608.0910	-2095.3091	3765.9580
-607.4650	-2095.3010	3766.1011
-607.5920	-2094.5071	3766.2639
-606.2470	-2091.9529	3766.1431
-605.9010	-2089.6990	3766.1890
-578.4370	-2092.7061	3765.8740
-580.0760	-2091.1450	3765.8989
-603.5130	-2082.0969	3765.9150
-602.0480	-2079.9761	3765.9670
-602.7220	-2079.6140	3765.8220
-600.7170	-2077.8750	3766.0540
-591.6860	-2076.3091	3766.0349
-595.5320	-2075.6069	3765.9490
-595.9750	-2075.1189	3765.8889
-603.4390	-2074.7690	3765.8521
-596.9250	-2074.3420	3765.9900
-594.0880	-2073.1079	3766.0349
-590.2710	-2072.9180	3765.9641
-595.6460	-2072.5859	3765.8540
-598.5120	-2072.1179	3765.9900
-593.0700	-2071.8931	3765.8401
-592.1240	-2071.1370	3765.9761
-592.6940	-2070.9390	3765.8789
-607.9470	-2070.6641	3765.8330
-593.5400	-2070.5669	3765.8269
-589.6170	-2069.8860	3765.8459
-592.1860	-2069.8101	3765.8320
-604.2460	-2069.4761	3765.8931
-594.4630	-2069.1060	3765.9409
-593.9780	-2069.1741	3765.8411
-610.6180	-2068.9851	3765.8970
-607.5700	-2068.9570	3765.9810
-588.9250	-2068.9570	3765.9629
-590.3380	-2068.7981	3765.9109
-605.3050	-2068.3181	3765.8940
-588.3440	-2067.0129	3765.9060
-592.0980	-2066.3679	3765.9460
-609.4020	-2065.0190	3765.9741
-611.3320	-2064.4570	3765.9451
-610.1160	-2064.2720	3766.0061
-589.3960	-2063.7000	3765.8340
-590.4520	-2063.5239	3765.8979
-610.1820	-2063.4189	3766.0210
-608.6140	-2063.0249	3765.9360
-609.3270	-2062.7480	3765.8940
-591.5520	-2062.3110	3765.9241
-593.1410	-2062.2209	3766.0471
-591.1370	-2061.5110	3766.0371
-591.1460	-2061.0391	3766.0220
-590.5070	-2060.8250	3766.0300
-608.9680	-2060.4961	3765.8811
-590.6740	-2059.4280	3766.0039
-610.5650	-2059.2029	3766.0181
-609.5830	-2059.2209	3765.9480
-590.0390	-2058.9761	3765.9041
